msglen=4096	60.0594 s		246527 packets/s	1.00977e+06 KB/s	1009.77 MB/s	1.00977 GB/s
msglen=4096	60.0594 s		246798 packets/s	1.01088e+06 KB/s	1010.88 MB/s	1.01088 GB/s
msglen=4096	60.0594 s		246457 packets/s	1.00949e+06 KB/s	1009.49 MB/s	1.00949 GB/s
msglen=4096	60.0594 s		246936 packets/s	1.01145e+06 KB/s	1011.45 MB/s	1.01145 GB/s
msglen=8192	60.0196 s		117491 packets/s	962485 KB/s	962.485 MB/s	0.962485 GB/s
msglen=8192	60.0381 s		126648 packets/s	1.0375e+06 KB/s	1037.5 MB/s	1.0375 GB/s
msglen=8192	60.0386 s		114504 packets/s	938014 KB/s	938.014 MB/s	0.938014 GB/s
msglen=8192	60.0382 s		124545 packets/s	1.02027e+06 KB/s	1020.27 MB/s	1.02027 GB/s
msglen=8192	60.0593 s		127948 packets/s	1.04815e+06 KB/s	1048.15 MB/s	1.04815 GB/s
msglen=16384	60.0594 s		63481.8 packets/s	1.04009e+06 KB/s	1040.09 MB/s	1.04009 GB/s
msglen=16384	60.0084 s		63450.1 packets/s	1.03957e+06 KB/s	1039.57 MB/s	1.03957 GB/s
msglen=16384	59.9999 s		62767.7 packets/s	1.02839e+06 KB/s	1028.39 MB/s	1.02839 GB/s
msglen=16384	60.0593 s		63496.7 packets/s	1.04033e+06 KB/s	1040.33 MB/s	1.04033 GB/s
msglen=16384	60.0668 s		62470 packets/s	1.02351e+06 KB/s	1023.51 MB/s	1.02351 GB/s
msglen=32768	60.0129 s		31085.8 packets/s	1.01862e+06 KB/s	1018.62 MB/s	1.01862 GB/s
msglen=32768	60.0391 s		30873 packets/s	1.01165e+06 KB/s	1011.65 MB/s	1.01165 GB/s
msglen=32768	60.039 s		30967.4 packets/s	1.01474e+06 KB/s	1014.74 MB/s	1.01474 GB/s
msglen=32768	60.0593 s		30788.5 packets/s	1.00888e+06 KB/s	1008.88 MB/s	1.00888 GB/s
msglen=32768	60.0494 s		31005.8 packets/s	1.016e+06 KB/s	1016 MB/s	1.016 GB/s
